	age	createDays	event_count	fan_count	follow_count	gender	level	listening_songs_num	location	playlistCount	userId	user_description
338	unknown	5	0	1	2	1	0	9	1	2	1818651829	
339	19	1160	2	1	3	1	7	1296	3	15	132433142	
340	20	667	8	6	5	1	7	2063	1	9	507793255	中考备战,十年磨一剑,至少应该做一回自己的英雄。
341	16	643	1	2	7	1	8	5920	4	12	536409980	绿
342	unknown	193	0	2	1	0	5	366	2	3	1620034133	
343	19	954	2	2	6	2	9	8983	3	14	326665271	身体和灵魂总有一个在路上，出走的目的，只是想找回那个迷失的自己。
344	unknown	250	0	2	4	1	0	7	3	2	1543850131	
345	unknown	725	0	2	1	2	7	1860	4	13	468944832	
346	unknown	103	0	2	4	2	2	65	1	1	1720357556	
347	unknown	726	2	4	9	1	8	3051	4	10	468463511	
348	unknown	599	0	3	3	2	6	831	3	1	571876729	
349	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
350	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
351	29	240	0	2	1	1	6	766	1	11	1554592246	
352	unknown	243	0	2	1	1	6	617	3	8	1325502836	
353	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
354	29	1162	1	2	6	0	7	1147	4	16	131518549	
355	unknown	554	0	1	3	1	5	228	3	9	600066450	
356	unknown	486	0	2	8	2	7	1509	3	3	1309613719	
357	unknown	486	0	2	8	2	7	1509	3	3	1309613719	
358	unknown	257	9	9	1	2	6	469	0	4	1536453828	关键就在于，你是选择共同幸福，还是独霸利益？
359	unknown	257	9	9	1	2	6	469	0	4	1536453828	关键就在于，你是选择共同幸福，还是独霸利益？
360	22	808	0	1	2	1	8	3217	4	10	408146618	人丑嘴不甜
361	unknown	545	0	1	4	0	5	284	3	2	471460280	
362	unknown	573	0	2	3	1	6	827	5	6	593985286	
363	19	357	0	6	1	1	5	367	3	2	1434471757	我在等的人？我愿不离不弃，你能生死相依？
364	unknown	712	3	2	1	1	5	345	6	3	476950690	心若沉浮，浅笑安然
365	20	285	0	1	0	1	4	198	3	1	1507032520	
366	19	568	0	6	3	1	8	6070	5	11	597738076	
367	24	920	2	1	1	1	8	3177	2	12	248127877	
368	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
369	unknown	1070	3	4	5	2	7	2714	2	6	274834820	
370	unknown	1193	0	1	3	1	6	1075	0	1	120501079	
371	unknown	111	0	2	6	1	2	43	5	3	1712519521	
372	19	458	1	5	3	1	7	2956	3	7	1336992762	你可以坐在扶手椅上继续读你的书，种你的树，看着它们长大。
373	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
374	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
375	unknown	1062	1	1	4	1	7	2018	1	25	278103562	
376	unknown	524	0	3	3	2	5	254	4	3	636018485	
377	0	160	0	1	2	0	3	129	6	1	1661066806	
378	23	647	0	4	1	1	5	395	1	5	533628942	
379	23	647	0	4	1	1	5	395	1	5	533628942	
380	17	958	0	4	5	1	7	1133	4	19	324652680	
381	2	696	2	5	7	2	8	3779	7	3	414532650	好好学习 和你 一起
382	unknown	408	0	2	4	1	6	870	3	1	1385348001	
383	unknown	52	0	7	3	1	4	349	4	1	1769118128	
384	unknown	227	0	1	7	1	3	121	1	1	1577206603	
385	14	135	0	1	3	1	5	1176	3	12	1685697332	湉湉咖黎
386	18	223	0	1	3	2	7	1048	3	2	1581652860	
387	unknown	685	1	1	1	1	8	3810	3	5	493863053	
388	29	1108	4	1	5	1	8	7488	6	11	259924770	恃宠而骄 不负厚爱
389	unknown	8	0	1	5	0	2	55	3	1	1815276736	
390	16	1079	3	1	1	1	1	39	4	2	271219022	Get Everybody Moving
391	unknown	705	0	6	1	1	7	1853	4	7	481761469	
392	unknown	251	0	0	4	1	6	1967	1	3	1543264916	
393	unknown	771	0	1	7	1	6	840	3	4	430763795	
394	unknown	874	0	1	5	1	5	394	4	1	364484847	
395	unknown	1252	0	2	2	0	7	2313	3	29	103308263	
396	unknown	733	0	4	9	1	6	874	1	11	1366183182	
397	unknown	755	2	1	5	1	6	1000	0	2	440226493	嘴上没关系心里很在意
398	unknown	784	1	2	9	1	6	945	4	3	423181982	
399	22	159	0	1	3	1	5	348	1	1	1662208847	
400	unknown	579	2	3	3	2	6	773	1	7	318682366	
401	19	825	1	2	3	1	7	1678	1	3	395964505	西南battle king
402	unknown	675	0	4	4	2	6	682	2	2	501179319	
403	18	798	2	3	1	2	7	1391	3	2	413830444	
404	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
405	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
406	unknown	17998	3	1	1	1	8	5307	1	15	39976833	
407	unknown	457	1	1	7	1	6	1009	1	4	1315352910	遇见你是偶然不经意间的惊喜
408	30	1	0	1	3	0	0	0	3	1	1821844233	才知你去了个地方叫永远，你可否代我发表退役宣言
409	unknown	993	2	1	9	1	7	1565	6	7	308813553	抬头是精神，蹭屄是牺牲😌
410	unknown	1105	3	6	2	2	7	1697	5	7	261603504	己所不欲勿施于人
411	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
412	unknown	120	0	0	4	2	5	254	6	7	1703382394	
413	unknown	547	3	6	3	1	7	2475	6	2	616929917	一事无成，只剩遗憾
414	19	568	0	6	3	1	8	6070	5	11	597738076	
415	unknown	591	1	1	1	2	8	5792	0	21	568980957	大家都好热爱生活 是装的吗？💉
416	unknown	890	0	1	1	1	7	1042	4	6	356267853	
417	-3	690	2	4	1	2	7	2165	1	19	491236042	生生不息。
418	18	282	0	4	5	1	7	1723	4	12	1509479582	这个人想要本硕博走一波。
419	unknown	890	0	1	1	1	7	1042	4	6	356267853	
420	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
421	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
422	unknown	846	0	3	4	1	4	177	3	3	380272179	薇heibai88588
423	unknown	453	0	2	5	0	5	340	3	4	1341316522	
424	unknown	614	0	3	1	0	7	1464	1	7	560059877	
425	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
426	unknown	366	4	2	3	1	5	272	0	4	1426380850	有些事，不管是输还是赢，我们都必须去做。
427	unknown	874	0	2	3	1	6	652	6	5	364755039	
428	unknown	955	0	5	0	2	7	2637	0	7	322467121	Doctor
429	0	6	0	5	3	0	1	226	4	2	1816955658	
430	19	299	0	2	6	2	5	356	6	3	1490917928	
431	unknown	51	0	2	4	2	0	8	1	1	1769915076	
432	48	496	0	5	3	1	6	873	5	2	1301960832	
433	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
434	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
435	unknown	934	1	5	8	0	6	980	3	7	129362706	
436	unknown	14	0	1	3	1	0	1	2	1	1808875483	
437	unknown	5	0	1	2	1	0	9	1	2	1818651829	
438	19	1160	2	1	3	1	7	1296	3	15	132433142	
439	20	667	8	6	5	1	7	2063	1	9	507793255	中考备战,十年磨一剑,至少应该做一回自己的英雄。
440	16	643	1	2	7	1	8	5920	4	12	536409980	绿
441	unknown	193	0	2	1	0	5	366	2	3	1620034133	
442	19	954	2	2	6	2	9	8983	3	14	326665271	身体和灵魂总有一个在路上，出走的目的，只是想找回那个迷失的自己。
443	unknown	250	0	2	4	1	0	7	3	2	1543850131	
444	unknown	725	0	2	1	2	7	1860	4	13	468944832	
445	unknown	103	0	2	4	2	2	65	1	1	1720357556	
446	unknown	726	2	4	9	1	8	3051	4	10	468463511	
447	unknown	599	0	3	3	2	6	831	3	1	571876729	
448	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
449	unknown	901	2	9	1	1	7	1422	0	4	351077634	是谁发明了我喜欢你这种人间疾苦
450	29	240	0	2	1	1	6	766	1	11	1554592246	
451	unknown	243	0	2	1	1	6	617	3	8	1325502836	
